snapshot_date,warehouse_id,product_id,on_hand_qty,allocated_qty,reorder_point
2024-09-12,W001,P00034,760,55,60
2025-10-18,W001,P00210,336,98,63
2025-01-19,W001,P00173,351,56,83
2024-04-28,W001,P00468,246,2,113
2025-07-03,W001,P00161,331,59,95
2025-11-02,W001,P00084,658,63,42
2025-02-23,W001,P00423,165,20,92
2025-01-20,W001,P00531,47,20,51
2025-11-15,W001,P00130,466,86,92
2025-11-01,W001,P00066,723,109,45
2025-09-16,W001,P00107,282,64,45
2025-05-18,W001,P00080,481,117,67
2024-10-23,W001,P00250,659,51,95
2025-01-02,W001,P00542,558,51,12
2025-02-04,W001,P00411,795,93,67
2025-02-15,W001,P00416,306,108,78
2025-01-30,W001,P00265,49,47,74
2025-06-08,W001,P00194,436,86,10
2024-05-29,W001,P00057,463,79,25
2025-11-24,W001,P00078,551,118,46
2024-10-08,W001,P00063,426,104,70
2025-09-01,W001,P00183,15,15,49
2025-05-18,W001,P00570,766,81,112
2026-02-08,W001,P00198,39,22,33
2024-09-09,W001,P00127,324,91,17
2024-07-24,W001,P00458,769,100,62
2024-03-25,W001,P00261,362,120,94
2024-01-09,W001,P00038,429,96,112
2025-02-09,W001,P00098,180,25,67
2024-10-29,W001,P00136,25,25,54
2025-11-01,W001,P00579,119,8,94
2025-12-04,W001,P00457,657,21,107
2024-05-06,W001,P00442,543,29,81
2024-12-25,W001,P00230,552,15,56
2025-11-03,W001,P00449,492,65,49
2024-01-25,W001,P00475,86,74,83
2024-02-11,W001,P00333,431,43,104
2026-01-03,W001,P00581,141,69,82
2024-04-28,W001,P00415,566,64,11
2025-01-21,W001,P00567,602,7,47
2025-11-01,W001,P00077,149,37,89
2024-08-30,W001,P00334,783,69,93
2024-07-12,W001,P00002,72,67,31
2025-06-17,W001,P00074,675,80,70
2025-04-06,W001,P00352,432,83,72
2024-02-11,W001,P00150,461,52,25
2024-10-01,W001,P00456,508,33,114
2024-11-25,W001,P00471,266,93,90
2024-02-16,W001,P00113,792,61,15
2024-11-28,W001,P00188,464,112,43
2024-07-28,W001,P00196,776,2,59
2024-01-16,W001,P00476,503,15,23
2025-08-31,W001,P00301,604,119,87
2025-06-03,W001,P00260,665,11,86
2024-02-26,W001,P00554,624,115,82
2024-08-24,W001,P00109,443,12,106
2024-05-22,W001,P00359,432,1,42
2024-12-28,W001,P00430,240,41,95
2025-05-28,W001,P00376,624,74,74
2024-06-18,W001,P00600,269,104,57
2024-11-24,W001,P00545,195,50,83
2024-05-26,W001,P00481,373,86,51
2024-08-11,W001,P00403,618,37,96
2024-02-06,W001,P00346,378,103,26
2024-02-11,W001,P00040,794,107,22
2025-06-06,W001,P00140,665,79,93
2025-09-10,W001,P00322,768,0,91
2025-07-12,W001,P00592,777,61,119
2024-06-28,W001,P00042,622,60,119
2024-07-18,W001,P00485,326,81,73
2024-07-29,W001,P00179,582,25,58
2024-12-27,W001,P00315,496,4,76
2024-03-18,W001,P00118,355,67,42
2025-05-09,W001,P00366,168,113,42
2024-11-23,W001,P00587,176,44,88
2025-07-10,W001,P00293,474,79,34
