account_id,account_name,industry,tier,employees,geo_id,created_at,updated_at,is_deleted
A00001,"Nguyen, Rivas and Ramirez",Telecom,Tier 2,1109,GEO0227,2025-04-03T18:35:16,2025-05-01T21:43:43,0
A00002,Wagner-Moore,Logistics,Tier 3,92,GEO0056,2025-04-12T01:48:39,2025-06-19T13:17:54,0
A00003,"Rowland, Munoz and Kaufman",Government,Tier 1,32101,GEO0267,2025-02-01T19:52:16,2025-09-30T03:32:38,0
A00004,"Johnson, Tucker and Howard",FinTech,Tier 2,148,GEO0086,2024-03-20T22:07:46,2024-05-06T00:59:05,0
A00005,"Mcconnell, Kim and Cooper",Telecom,Tier 2,112,GEO0627,2025-04-03T05:10:00,2025-04-15T20:58:15,0
A00006,Rhodes-Gonzales,FinTech,Tier 2,43,GEO0255,2025-12-18T04:15:21,2026-01-27T05:09:01,0
A00007,Foster-Evans,Retail,Tier 1,76,GEO0459,2024-11-14T20:40:06,2025-01-28T23:56:57,0
A00008,Rowe PLC,Government,Tier 2,3726,GEO0330,2024-06-22T08:06:05,2025-01-01T18:50:25,0
A00009,Hill Group,Government,Tier 1,94,GEO0280,2024-09-24T14:49:24,2025-08-17T13:45:39,0
A00010,"Allen, Cruz and Maldonado",FinTech,Tier 2,3711,GEO0464,2024-08-13T20:56:11,2025-10-04T04:32:59,0
A00011,"Jensen, Hansen and Cox",Government,Tier 3,5891,GEO0034,2025-05-08T21:46:12,2025-06-27T09:44:12,0
A00012,Reed-White,FinTech,Tier 1,13622,GEO0581,2024-01-11T16:23:33,2025-08-24T19:18:28,0
A00013,"Henry, Dyer and Nguyen",Logistics,Tier 2,163,GEO0620,2025-09-06T17:36:08,2025-11-02T15:04:03,0
A00014,Pierce Group,Logistics,Tier 2,34,GEO0716,2024-11-06T21:27:16,2025-06-11T17:39:03,0
A00015,"Long, Green and Sims",Telecom,Tier 3,90,GEO0419,2025-01-29T19:06:09,2025-12-24T14:50:54,0
A00016,Mitchell-Barrera,Logistics,Tier 2,37479,GEO0784,2025-09-24T15:21:04,2026-01-31T22:53:39,0
A00017,"Washington, Turner and Everett",Energy,Tier 1,157,GEO0673,2024-08-05T18:47:57,2025-11-21T23:48:50,0
A00018,Silva Ltd,Manufacturing,Tier 3,1975,GEO0406,2024-07-26T02:16:42,2025-02-09T05:41:58,0
A00019,"Jones, Novak and Smith",FinTech,Tier 3,22474,GEO0427,2025-12-11T09:07:50,2025-12-12T08:49:08,0
A00020,Warren Group,Healthcare,Tier 1,1626,GEO0711,2024-07-29T11:34:24,2025-01-23T22:58:44,0
A00021,Crawford PLC,Energy,Tier 3,6388,GEO0480,2024-08-16T07:19:54,2025-02-03T02:04:57,0
A00022,Schmitt-Golden,Energy,Tier 2,129,GEO0681,2025-03-24T05:44:20,2025-05-06T22:40:16,0
A00023,"Ryan, Norton and Santiago",FinTech,Tier 1,126,GEO0016,2024-12-07T08:14:09,2025-02-04T23:37:29,0
A00024,Contreras-Patton,Energy,Tier 2,188,GEO0351,2024-06-06T14:17:03,2025-01-25T10:40:45,0
A00025,"Calhoun, Lynn and Rivera",Logistics,Tier 1,985,GEO0320,2025-12-25T03:54:28,2026-01-13T15:13:17,0
A00026,"Johnson, Hoover and Nguyen",Telecom,Tier 2,77,GEO0682,2025-02-04T12:12:45,2026-02-02T00:58:54,0
A00027,"Faulkner, Powell and Thomas",Retail,Tier 2,24,GEO0462,2025-11-15T04:39:32,2025-12-10T01:37:09,0
A00028,Sullivan LLC,Manufacturing,Tier 1,18583,GEO0112,2024-03-18T10:50:44,2024-04-29T06:41:32,0
A00029,Rivera-Schmidt,Telecom,Tier 1,168,GEO0438,2024-01-17T13:08:32,2025-04-29T06:49:17,0
