opportunity_id,product_id,quantity,unit_price,line_total
O000001,P00191,33,171.09,5645.97
O000001,P00336,18,75.88,1365.84
O000001,P00048,16,123.93,1982.88
O000001,P00167,45,235.92,10616.4
O000002,P00391,48,385.68,18512.64
O000002,P00066,50,107.02,5351.0
O000002,P00303,6,254.68,1528.08
O000002,P00364,27,473.82,12793.14
O000003,P00165,4,161.43,645.72
O000003,P00497,21,360.87,7578.27
O000004,P00269,6,487.59,2925.54
O000004,P00297,40,372.37,14894.8
O000005,P00363,36,439.23,15812.28
O000005,P00069,38,78.66,2989.08
O000006,P00279,17,466.95,7938.15
O000006,P00458,25,74.08,1852.0
O000007,P00036,14,34.36,481.04
O000008,P00215,46,248.59,11435.14
O000008,P00436,44,88.96,3914.24
O000008,P00427,18,212.01,3816.18
O000009,P00218,37,380.7,14085.9
O000009,P00431,2,99.27,198.54
O000009,P00213,46,369.61,17002.06
O000010,P00481,3,67.64,202.92
O000010,P00312,9,565.85,5092.65
O000010,P00213,32,422.05,13505.6
O000010,P00262,27,439.27,11860.29
O000010,P00322,4,31.94,127.76
O000011,P00245,2,522.89,1045.78
O000011,P00505,18,80.97,1457.46
O000011,P00138,25,33.97,849.25
O000011,P00029,50,73.08,3654.0
O000012,P00419,25,522.78,13069.5
O000012,P00020,25,401.57,10039.25
O000012,P00001,22,239.71,5273.62
O000013,P00363,7,371.86,2603.02
O000013,P00203,30,254.27,7628.1
O000013,P00265,43,159.72,6867.96
O000013,P00322,20,33.33,666.6
O000014,P00480,46,235.15,10816.9
O000014,P00090,33,520.12,17163.96
O000014,P00486,24,143.93,3454.32
O000015,P00380,40,244.01,9760.4
O000015,P00401,10,201.5,2015.0
O000015,P00359,33,382.48,12621.84
O000015,P00114,46,103.15,4744.9
O000016,P00265,21,168.8,3544.8
O000016,P00250,38,70.05,2661.9
O000016,P00191,8,181.1,1448.8
O000016,P00537,25,232.79,5819.75
O000016,P00373,5,11.95,59.75
O000017,P00357,14,368.09,5153.26
O000018,P00439,12,229.31,2751.72
O000018,P00483,33,411.89,13592.37
O000019,P00432,26,576.65,14992.9
O000020,P00549,4,443.66,1774.64
O000020,P00170,16,208.87,3341.92
O000020,P00389,22,63.12,1388.64
O000020,P00221,45,272.23,12250.35
O000020,P00289,8,198.32,1586.56
O000021,P00375,42,28.84,1211.28
O000021,P00324,29,107.03,3103.87
O000021,P00226,17,9.71,165.07
O000021,P00465,27,165.48,4467.96
O000021,P00453,30,62.16,1864.8
O000021,P00558,17,408.33,6941.61
O000022,P00499,29,27.6,800.4
O000022,P00267,33,400.77,13225.41
O000022,P00419,25,486.59,12164.75
O000022,P00032,48,390.8,18758.4
O000022,P00334,42,5.28,221.76
O000023,P00518,36,223.44,8043.84
O000024,P00345,20,145.32,2906.4
O000024,P00491,8,177.75,1422.0
O000024,P00218,30,457.71,13731.3
O000025,P00005,6,63.92,383.52
O000025,P00530,36,129.54,4663.44
O000025,P00498,18,224.4,4039.2
O000025,P00279,31,390.21,12096.51
O000025,P00473,43,389.48,16747.64
O000025,P00097,13,197.58,2568.54
O000026,P00497,40,293.9,11756.0
O000026,P00576,25,423.05,10576.25
O000027,P00552,22,275.4,6058.8
O000027,P00379,50,267.6,13380.0
O000027,P00020,38,379.47,14419.86
O000027,P00570,44,285.37,12556.28
O000027,P00252,7,31.83,222.81
O000027,P00085,11,443.97,4883.67
O000028,P00353,21,474.63,9967.23
O000028,P00024,25,358.31,8957.75
O000028,P00126,22,301.5,6633.0
O000029,P00442,36,134.44,4839.84
O000029,P00087,3,327.88,983.64
O000029,P00277,28,226.57,6343.96
O000029,P00341,38,438.23,16652.74
O000029,P00578,6,252.09,1512.54
O000030,P00556,4,497.43,1989.72
O000030,P00102,11,150.44,1654.84
O000030,P00530,11,147.12,1618.32
O000030,P00551,49,273.99,13425.51
O000030,P00353,8,460.74,3685.92
O000030,P00545,50,258.82,12941.0
O000031,P00057,40,171.84,6873.6
O000031,P00585,30,8.34,250.2
O000031,P00157,11,134.38,1478.18
O000031,P00416,20,364.7,7294.0
O000031,P00028,21,199.32,4185.72
O000031,P00003,44,350.3,15413.2
O000032,P00576,27,424.03,11448.81
O000032,P00463,35,387.71,13569.85
O000033,P00220,36,149.09,5367.24
O000033,P00093,11,107.09,1177.99
O000033,P00577,32,536.34,17162.88
O000033,P00256,8,242.56,1940.48
O000033,P00033,49,177.14,8679.86
O000034,P00232,35,255.11,8928.85
O000034,P00027,37,509.31,18844.47
O000034,P00080,49,234.41,11486.09
O000034,P00204,20,234.32,4686.4
O000034,P00299,45,64.88,2919.6
O000035,P00062,23,316.4,7277.2
O000035,P00088,1,274.43,274.43
O000035,P00238,7,216.42,1514.94
O000035,P00012,31,465.71,14437.01
O000035,P00113,27,313.14,8454.78
O000036,P00247,35,231.47,8101.45
O000036,P00081,14,110.17,1542.38
O000036,P00484,41,237.53,9738.73
O000036,P00195,14,267.37,3743.18
O000036,P00381,16,196.8,3148.8
O000036,P00466,25,200.44,5011.0
O000037,P00107,17,30.98,526.66
O000038,P00474,47,246.66,11593.02
O000038,P00575,41,134.52,5515.32
O000039,P00543,8,229.24,1833.92
O000039,P00299,29,59.12,1714.48
O000039,P00217,45,111.6,5022.0
O000040,P00283,2,403.62,807.24
O000040,P00313,9,40.5,364.5
O000040,P00325,38,56.3,2139.4
O000040,P00020,6,416.34,2498.04
O000040,P00479,32,394.46,12622.72
O000040,P00396,28,78.3,2192.4
O000041,P00166,23,340.83,7839.09
O000041,P00479,5,477.04,2385.2
O000041,P00274,18,623.78,11228.04
O000041,P00586,6,161.64,969.84
O000041,P00407,35,588.46,20596.1
O000041,P00526,27,230.36,6219.72
O000042,P00342,35,80.05,2801.75
O000042,P00057,6,142.88,857.28
O000042,P00463,32,312.0,9984.0
O000042,P00062,47,332.98,15650.06
O000042,P00061,31,575.9,17852.9
O000043,P00584,19,191.0,3629.0
O000043,P00041,14,337.78,4728.92
O000043,P00229,19,124.28,2361.32
O000043,P00053,2,92.54,185.08
O000043,P00040,5,235.39,1176.95
O000044,P00528,7,404.87,2834.09
O000044,P00360,40,47.4,1896.0
O000044,P00123,44,406.52,17886.88
O000044,P00125,45,276.88,12459.6
O000045,P00126,8,282.02,2256.16
O000045,P00200,49,493.56,24184.44
O000045,P00360,33,53.79,1775.07
O000045,P00049,1,69.24,69.24
O000046,P00040,41,219.12,8983.92
O000046,P00419,21,529.87,11127.27
O000046,P00091,15,172.78,2591.7
O000046,P00096,33,544.37,17964.21
O000047,P00390,40,472.76,18910.4
O000047,P00464,21,336.45,7065.45
O000047,P00532,29,39.36,1141.44
O000048,P00163,26,179.58,4669.08
O000048,P00072,33,106.07,3500.31
O000048,P00414,15,334.01,5010.15
O000049,P00239,22,421.4,9270.8
O000049,P00114,10,113.42,1134.2
O000049,P00103,22,220.04,4840.88
O000049,P00086,9,127.89,1151.01
O000049,P00599,19,55.14,1047.66
O000049,P00281,39,294.97,11503.83
O000050,P00576,20,379.08,7581.6
O000050,P00372,43,170.35,7325.05
O000050,P00507,31,277.11,8590.41
O000051,P00139,13,313.03,4069.39
O000051,P00083,10,427.13,4271.3
O000051,P00166,11,351.86,3870.46
O000051,P00482,40,71.81,2872.4
O000051,P00259,4,248.16,992.64
O000052,P00465,17,163.96,2787.32
O000052,P00128,29,363.39,10538.31
O000053,P00430,38,115.37,4384.06
O000054,P00215,7,221.77,1552.39
O000054,P00249,47,279.2,13122.4
O000054,P00361,35,108.34,3791.9
O000055,P00051,34,487.73,16582.82
O000055,P00297,7,380.85,2665.95
O000056,P00533,23,148.86,3423.78
O000056,P00288,9,193.67,1743.03
O000056,P00230,25,285.4,7135.0
O000057,P00113,48,364.57,17499.36
O000057,P00028,4,225.54,902.16
O000057,P00226,15,10.02,150.3
O000057,P00293,10,233.77,2337.7
O000057,P00316,11,212.55,2338.05
O000058,P00331,11,382.04,4202.44
O000058,P00453,5,78.43,392.15
O000058,P00004,37,149.76,5541.12
O000058,P00153,46,256.17,11783.82
O000058,P00005,39,72.96,2845.44
O000058,P00319,49,379.98,18619.02
O000059,P00061,5,598.47,2992.35
O000060,P00148,19,297.1,5644.9
O000060,P00351,6,325.36,1952.16
O000060,P00059,20,469.39,9387.8
O000060,P00025,18,112.28,2021.04
O000060,P00357,21,351.89,7389.69
O000060,P00152,3,105.39,316.17
O000061,P00202,23,577.04,13271.92
O000061,P00119,37,62.86,2325.82
O000061,P00268,38,179.38,6816.44
