shipment_id,event_ts,event_type,event_city,event_state
SHP00000001,2024-03-21T03:00:00,Label Created,West Richard,AZ
SHP00000001,2024-03-22T11:00:00,Picked Up,South Dominicbury,VA
SHP00000001,2024-03-23T15:00:00,In Transit,New Jamesland,IL
SHP00000001,2024-03-24T02:00:00,Out For Delivery,Lake Allen,AZ
SHP00000001,2024-03-25T06:00:00,Delivered,Hendricksfort,AZ
SHP00000002,2024-11-08T00:00:00,Label Created,West Michaelmouth,WA
SHP00000002,2024-11-09T16:00:00,Picked Up,East Elizabeth,NY
SHP00000002,2024-11-10T02:00:00,In Transit,New Patricialand,CO
SHP00000002,2024-11-11T03:00:00,Out For Delivery,Lake Douglaschester,VA
SHP00000002,2024-11-12T05:00:00,Delivered,West Zachary,WA
SHP00000004,2024-07-22T09:00:00,Label Created,West Mark,FL
SHP00000004,2024-07-23T08:00:00,Picked Up,South Brett,NY
SHP00000004,2024-07-24T11:00:00,In Transit,Mooreview,FL
SHP00000004,2024-07-25T05:00:00,Out For Delivery,Lake Sarah,AZ
SHP00000004,2024-07-26T14:00:00,Delivered,Lyonsstad,CA
SHP00000005,2025-01-21T06:00:00,Label Created,East Sylvia,NC
SHP00000005,2025-01-22T09:00:00,Picked Up,Lake Jessicaburgh,FL
SHP00000005,2025-01-23T04:00:00,In Transit,Odonnellland,NY
SHP00000005,2025-01-24T13:00:00,Out For Delivery,Ryanville,CA
SHP00000005,2025-01-25T01:00:00,Delivered,New Jerome,WA
SHP00000008,2025-03-26T20:00:00,Label Created,North Linda,NY
SHP00000008,2025-03-27T00:00:00,Picked Up,Alexandramouth,CA
SHP00000008,2025-03-28T16:00:00,In Transit,Pereztown,CO
SHP00000008,2025-03-29T20:00:00,Out For Delivery,Lake Jamie,FL
SHP00000008,2025-03-30T08:00:00,Delivered,Williamchester,NY
SHP00000009,2025-12-18T09:00:00,Label Created,Matthewburgh,GA
SHP00000009,2025-12-19T12:00:00,Picked Up,Natalietown,VA
SHP00000009,2025-12-20T01:00:00,In Transit,Victoriaborough,FL
SHP00000009,2025-12-21T01:00:00,Out For Delivery,Tracyfort,TX
SHP00000009,2025-12-22T19:00:00,Delivered,Davidtown,NC
SHP00000010,2025-05-07T11:00:00,Label Created,Deanland,NY
SHP00000010,2025-05-08T01:00:00,Picked Up,Gabrielmouth,GA
SHP00000010,2025-05-09T18:00:00,In Transit,Lake Maryhaven,VA
SHP00000010,2025-05-10T20:00:00,Out For Delivery,Lake Kristin,CA
SHP00000010,2025-05-11T08:00:00,Delivered,South Sarahborough,TX
SHP00000013,2024-07-08T00:00:00,Label Created,Angelachester,MA
SHP00000013,2024-07-09T10:00:00,Picked Up,Mendozastad,NC
SHP00000013,2024-07-10T04:00:00,In Transit,Sullivanton,NC
SHP00000013,2024-07-11T02:00:00,Out For Delivery,New Annachester,MA
SHP00000013,2024-07-12T05:00:00,Delivered,Hawkinschester,NC
SHP00000014,2025-09-30T06:00:00,Label Created,Charlestown,GA
SHP00000014,2025-10-01T01:00:00,Picked Up,Sarabury,WA
SHP00000014,2025-10-02T02:00:00,In Transit,Brianbury,VA
SHP00000014,2025-10-03T02:00:00,Out For Delivery,Fuentesville,FL
SHP00000014,2025-10-04T09:00:00,Delivered,Port Juanmouth,CA
SHP00000016,2025-03-13T07:00:00,Label Created,Fowlerhaven,TX
SHP00000016,2025-03-14T16:00:00,Picked Up,Matthewview,TX
SHP00000016,2025-03-15T19:00:00,In Transit,South Taylor,FL
SHP00000016,2025-03-16T15:00:00,Out For Delivery,Lake Jacob,MA
SHP00000016,2025-03-17T06:00:00,Delivered,Josephborough,CA
SHP00000017,2024-05-23T02:00:00,Label Created,Linfort,NY
SHP00000017,2024-05-24T09:00:00,Picked Up,Elizabethland,NY
SHP00000017,2024-05-25T14:00:00,In Transit,Mathisburgh,IL
SHP00000017,2024-05-26T12:00:00,Out For Delivery,Kevinville,NC
SHP00000017,2024-05-27T02:00:00,Delivered,New Kathleen,GA
SHP00000018,2025-10-23T11:00:00,Label Created,East Amanda,AZ
SHP00000018,2025-10-24T18:00:00,Picked Up,West Brianaburgh,FL
SHP00000018,2025-10-25T04:00:00,In Transit,West Timothy,MA
SHP00000018,2025-10-26T15:00:00,Out For Delivery,Hintontown,IL
SHP00000018,2025-10-27T00:00:00,Delivered,Davidchester,MA
SHP00000019,2026-03-02T07:00:00,Label Created,Danielland,TX
SHP00000019,2026-03-03T05:00:00,Picked Up,Williamstown,AZ
SHP00000019,2026-03-04T15:00:00,In Transit,South Christinafurt,CO
SHP00000019,2026-03-05T13:00:00,Out For Delivery,South William,VA
SHP00000019,2026-03-06T12:00:00,Delivered,Andrewport,CO
SHP00000020,2024-07-30T10:00:00,Label Created,Bryantown,TX
SHP00000020,2024-07-31T17:00:00,Picked Up,Lake Jenniferfort,AZ
SHP00000020,2024-08-01T14:00:00,In Transit,Port Eric,WA
SHP00000020,2024-08-02T13:00:00,Out For Delivery,North Sarah,GA
SHP00000020,2024-08-03T09:00:00,Delivered,Petersonhaven,NC
SHP00000021,2025-11-21T02:00:00,Label Created,Palmerview,NC
SHP00000021,2025-11-22T15:00:00,Picked Up,Petersonside,NY
SHP00000021,2025-11-23T16:00:00,In Transit,Lake Kelseystad,GA
SHP00000021,2025-11-24T10:00:00,Out For Delivery,Sandersside,AZ
SHP00000021,2025-11-25T08:00:00,Delivered,Christinamouth,IL
SHP00000024,2025-09-28T10:00:00,Label Created,Port Jessicafurt,MA
SHP00000024,2025-09-29T00:00:00,Picked Up,East Luke,FL
SHP00000024,2025-09-30T15:00:00,In Transit,Stevenmouth,WA
SHP00000024,2025-10-01T07:00:00,Out For Delivery,Annehaven,VA
SHP00000024,2025-10-02T09:00:00,Delivered,West Terri,IL
SHP00000026,2026-02-15T09:00:00,Label Created,Stevenshire,NY
SHP00000026,2026-02-16T12:00:00,Picked Up,South Robertburgh,GA
SHP00000026,2026-02-17T04:00:00,In Transit,Lisamouth,VA
SHP00000026,2026-02-18T05:00:00,Out For Delivery,Port Denise,GA
SHP00000026,2026-02-19T09:00:00,Delivered,Jamiehaven,GA
SHP00000029,2024-06-06T10:00:00,Label Created,Hughesbury,NC
SHP00000029,2024-06-07T13:00:00,Picked Up,Claytonview,NC
SHP00000029,2024-06-08T08:00:00,In Transit,South Ashley,IL
SHP00000029,2024-06-09T17:00:00,Out For Delivery,West Monica,IL
SHP00000029,2024-06-10T10:00:00,Delivered,Thorntonmouth,NC
