warehouse_id,warehouse_name,geo_id,capacity_units,created_at,updated_at
W001,DC-01,GEO0696,167448,2024-04-14T01:32:06,2024-10-02T20:07:55
W002,DC-02,GEO0030,114801,2024-07-29T05:46:18,2025-10-24T16:31:46
W003,DC-03,GEO0337,60447,2024-04-11T20:23:21,2024-08-30T03:54:12
W004,DC-04,GEO0299,128986,2025-03-25T00:15:53,2025-11-22T10:18:32
W005,DC-05,GEO0442,42343,2024-06-24T08:23:45,2025-08-22T11:40:42
W006,DC-06,GEO0034,59743,2024-09-08T16:26:50,2025-04-29T04:51:27
W007,DC-07,GEO0023,127297,2025-02-27T14:54:33,2026-02-11T11:01:28
W008,DC-08,GEO0497,22607,2024-05-29T22:51:33,2024-08-08T02:21:20
W009,DC-09,GEO0297,63076,2025-02-15T13:03:25,2025-03-05T21:59:41
W010,DC-10,GEO0745,170616,2024-06-03T01:40:45,2025-11-17T09:26:25
W011,DC-11,GEO0265,165125,2025-11-28T09:46:47,2026-01-07T11:00:52
W012,DC-12,GEO0373,158357,2024-10-13T19:58:09,2025-10-06T12:28:41
W013,DC-13,GEO0286,162717,2024-07-29T19:50:39,2025-10-24T22:22:56
W014,DC-14,GEO0700,126038,2025-10-26T06:56:19,2025-11-05T01:34:21
W015,DC-15,GEO0536,53031,2025-02-03T16:34:18,2025-05-23T02:32:35
W016,DC-16,GEO0394,156665,2024-11-15T10:48:40,2025-02-04T00:01:56
W017,DC-17,GEO0260,175321,2025-07-06T08:15:53,2026-01-20T09:46:27
