date,gross_revenue,discounts,orders,aov
2024-01-01,34373.29,2254.84,8,4296.66125
2024-01-02,78193.16000000002,5441.849999999999,24,3258.048333333334
2024-01-03,42423.98000000001,2481.7200000000003,13,3263.3830769230776
2024-01-04,67711.18,3664.9200000000005,18,3761.732222222222
2024-01-05,35262.13,2792.3900000000003,14,2518.723571428571
2024-01-06,50645.270000000004,1356.49,14,3617.519285714286
2024-01-07,76152.85,5866.1,18,4230.713888888889
2024-01-08,45538.09999999999,3021.9700000000003,14,3252.721428571428
2024-01-09,20103.4,666.73,9,2233.711111111111
2024-01-10,33130.9,2277.02,9,3681.211111111111
2024-01-11,58225.14,2311.69,15,3881.676
2024-01-12,53268.420000000006,4910.77,16,3329.2762500000003
2024-01-13,61066.820000000014,3745.0299999999997,15,4071.1213333333344
2024-01-14,44504.86,402.99,10,4450.486
2024-01-15,40479.64,2008.1499999999999,15,2698.6426666666666
2024-01-16,62064.96000000001,2515.8599999999997,19,3266.5768421052635
2024-01-17,62162.76999999999,3731.61,20,3108.1384999999996
2024-01-18,34479.2,1057.6100000000001,10,3447.9199999999996
2024-01-19,56817.07,4517.78,20,2840.8535
2024-01-20,65768.22,2844.89,21,3131.82
2024-01-21,55287.61,5291.72,16,3455.475625
2024-01-22,39065.979999999996,3083.62,13,3005.0753846153843
2024-01-23,54044.100000000006,2226.62,15,3602.9400000000005
2024-01-24,75758.67000000001,3487.4000000000005,20,3787.9335000000005
2024-01-25,42378.87000000001,1843.29,13,3259.913076923078
2024-01-26,76225.86,2628.9,17,4483.8741176470585
2024-01-27,53979.29,3998.15,19,2841.015263157895
2024-01-28,54826.23,3340.75,15,3655.0820000000003
2024-01-29,53474.39,3534.2,12,4456.199166666666
2024-01-30,28909.200000000004,1523.4199999999998,7,4129.885714285715
2024-01-31,56719.920000000006,2615.76,19,2985.2589473684216
2024-02-01,56154.950000000004,3167.9100000000003,21,2674.0452380952383
2024-02-02,47013.03,2604.9300000000003,17,2765.4723529411763
2024-02-03,36666.78,998.3,13,2820.5215384615385
2024-02-04,31684.44,2299.3599999999997,8,3960.555
2024-02-05,32725.19,2404.0,11,2975.0172727272725
2024-02-06,59744.28,3346.4399999999996,11,5431.298181818182
2024-02-07,56629.81999999999,3707.0800000000004,16,3539.3637499999995
2024-02-08,16207.7,756.92,6,2701.2833333333333
2024-02-09,45249.38999999999,2736.7900000000004,11,4113.580909090909
2024-02-10,36806.77,1478.27,9,4089.6411111111106
2024-02-11,36142.48,3172.9800000000005,12,3011.8733333333334
2024-02-12,44917.85999999999,2820.92,11,4083.441818181818
2024-02-13,50842.070000000014,2898.81,9,5649.11888888889
2024-02-14,67661.54000000002,1932.57,16,4228.846250000001
2024-02-15,52640.44,277.42,11,4785.494545454546
2024-02-16,27866.88,1422.1499999999999,9,3096.32
2024-02-17,41062.509999999995,2098.75,12,3421.875833333333
2024-02-18,60697.76,3229.84,20,3034.888
2024-02-19,33121.64,2515.26,11,3011.0581818181818
2024-02-20,57218.119999999995,4479.31,13,4401.3938461538455
2024-02-21,55653.24999999999,3602.8500000000004,16,3478.3281249999995
2024-02-22,61212.08999999999,2730.08,16,3825.7556249999993
2024-02-23,60001.51,3879.2799999999997,11,5454.682727272728
2024-02-24,39239.840000000004,1092.18,12,3269.986666666667
