month,total_revenue,total_orders,aov
2024-01-01,1613041.48,468,3446.669829059829
2024-02-01,1363754.2500000007,375,3636.6780000000017
2024-03-01,1525922.470000001,436,3499.822178899084
2024-04-01,1535486.310000001,435,3529.853586206899
2024-05-01,1446877.919999999,425,3404.418635294115
2024-06-01,1509989.6999999995,424,3561.29646226415
2024-07-01,1669951.200000001,459,3638.237908496734
2024-08-01,1474686.2600000016,444,3321.3654504504543
2024-09-01,1317999.6099999992,410,3214.633195121949
2024-10-01,1375932.4900000002,417,3299.5982973621108
2024-11-01,1466870.4100000006,426,3443.357769953053
2024-12-01,1544678.0400000005,451,3425.006740576497
2025-01-01,1590409.95,452,3518.6060840707964
2025-02-01,1519718.5000000007,423,3592.7151300236424
2025-03-01,1664765.1999999986,473,3519.5881606765297
2025-04-01,1467379.289999999,416,3527.3540624999982
2025-05-01,1516674.090000001,419,3619.7472315035825
2025-06-01,1495597.2700000005,415,3603.848843373495
2025-07-01,1429515.9600000004,415,3444.6167710843383
2025-08-01,1558559.529999999,434,3591.150990783409
2025-09-01,1353084.37,407,3324.5316216216215
2025-10-01,1557031.5599999994,447,3483.2920805369113
2025-11-01,1398754.5099999998,411,3403.2956447688557
2025-12-01,1370359.9600000011,402,3408.85562189055
2026-01-01,1502295.9900000005,436,3445.633004587157
2026-02-01,1470066.129999999,399,3684.376265664158
2026-03-01,56305.62999999999,23,2448.070869565217
