order_id,product_id,quantity,unit_price,line_total
ORD00000001,P00148,3,301.81,905.43
ORD00000001,P00546,1,217.84,217.84
ORD00000001,P00559,6,90.05,540.31
ORD00000001,P00240,5,9.79,48.93
ORD00000001,P00547,5,418.47,2092.35
ORD00000001,P00446,3,23.77,71.31
ORD00000002,P00181,5,211.14,1055.72
ORD00000002,P00198,2,168.01,336.01
ORD00000002,P00561,2,51.26,102.51
ORD00000002,P00009,1,370.31,370.31
ORD00000002,P00090,1,461.55,461.55
ORD00000002,P00219,6,415.73,2494.39
ORD00000002,P00240,6,9.19,55.17
ORD00000003,P00339,1,235.69,235.69
ORD00000003,P00424,6,328.42,1970.51
ORD00000004,P00307,6,238.51,1431.06
ORD00000005,P00413,3,52.8,158.41
ORD00000005,P00054,3,242.49,727.47
ORD00000005,P00498,5,245.94,1229.72
ORD00000005,P00345,2,190.89,381.79
ORD00000005,P00179,2,231.0,461.99
ORD00000006,P00314,4,177.7,710.79
ORD00000006,P00524,6,469.62,2817.72
ORD00000006,P00337,3,472.23,1416.69
ORD00000006,P00363,1,434.35,434.35
ORD00000006,P00195,4,317.91,1271.62
ORD00000006,P00239,1,473.78,473.78
ORD00000006,P00276,1,339.83,339.83
ORD00000007,P00362,1,98.48,98.48
ORD00000007,P00563,6,8.93,53.57
ORD00000007,P00472,2,103.84,207.69
ORD00000007,P00005,4,62.15,248.62
ORD00000008,P00359,3,479.12,1437.35
ORD00000008,P00027,6,539.44,3236.65
ORD00000009,P00271,1,234.42,234.42
ORD00000009,P00057,2,152.01,304.02
ORD00000009,P00534,2,237.25,474.51
ORD00000009,P00276,6,307.18,1843.06
ORD00000010,P00262,6,531.02,3186.12
ORD00000010,P00576,6,386.47,2318.8
ORD00000011,P00171,5,234.13,1170.65
ORD00000012,P00361,3,105.41,316.22
ORD00000012,P00057,6,174.85,1049.12
ORD00000013,P00426,3,33.35,100.04
ORD00000013,P00003,5,346.69,1733.44
ORD00000013,P00510,2,310.91,621.83
ORD00000013,P00493,6,288.14,1728.83
ORD00000014,P00351,3,311.89,935.67
ORD00000015,P00289,1,254.51,254.51
ORD00000015,P00122,3,92.93,278.79
ORD00000015,P00396,3,96.98,290.94
ORD00000015,P00121,3,120.44,361.31
ORD00000015,P00402,5,250.5,1252.5
ORD00000015,P00003,2,338.97,677.95
ORD00000016,P00092,2,17.02,34.04
ORD00000016,P00223,2,390.98,781.95
ORD00000016,P00067,3,11.43,34.29
ORD00000016,P00297,6,362.45,2174.68
ORD00000017,P00352,3,301.52,904.55
ORD00000018,P00005,5,71.21,356.07
ORD00000018,P00017,6,93.64,561.84
ORD00000018,P00250,5,76.62,383.1
ORD00000019,P00461,2,95.62,191.25
