order_id,customer_id,order_date,channel,status,warehouse_id,subtotal,discount,tax,shipping_fee,order_total,created_at,updated_at
ORD00000001,C007066,2024-03-19,Mobile,Delivered,W008,3876.17,387.62,197.68,11.38,3697.61,2024-03-19T08:05:41,2025-03-27T15:07:42
ORD00000002,C003374,2024-11-06,B2B Portal,Delivered,W010,4875.66,0.0,429.99,14.9,5320.55,2024-11-06T11:41:26,2026-02-18T14:53:27
ORD00000003,C004513,2026-02-19,Marketplace,Packed,W006,2206.2,330.93,146.8,9.78,2031.85,2026-02-19T02:32:59,2026-02-20T19:43:57
ORD00000004,C007922,2024-07-20,Web,Delivered,W011,1431.06,71.55,105.93,24.72,1490.16,2024-07-20T10:32:32,2024-11-22T01:44:48
ORD00000005,C004349,2025-01-18,Mobile,Shipped,W017,2959.38,147.97,124.99,17.56,2953.96,2025-01-18T01:36:29,2025-03-13T01:00:57
ORD00000006,C004905,2025-11-20,Mobile,Placed,W012,7464.78,0.0,237.69,27.71,7730.18,2025-11-20T18:25:02,2026-02-17T08:27:42
ORD00000007,C000190,2025-06-15,Mobile,Cancelled,W006,608.36,0.0,30.18,23.65,662.19,2025-06-15T14:58:49,2025-07-21T00:44:47
ORD00000008,C001609,2025-03-23,B2B Portal,Shipped,W013,4674.0,0.0,364.01,7.6,5045.61,2025-03-23T14:29:41,2026-01-17T02:41:07
ORD00000009,C004352,2025-12-17,B2B Portal,Delivered,W012,2856.01,0.0,240.13,32.01,3128.15,2025-12-17T16:12:29,2026-01-22T18:15:29
ORD00000010,C000190,2025-05-06,Marketplace,Delivered,W003,5504.92,825.74,336.82,33.86,5049.86,2025-05-06T01:26:29,2025-10-30T10:49:07
ORD00000011,C000764,2026-01-29,Mobile,Packed,W001,1170.65,0.0,42.51,29.48,1242.64,2026-01-29T04:20:11,2026-02-08T02:09:50
ORD00000012,C000208,2024-08-22,B2B Portal,Packed,W006,1365.34,204.8,48.21,12.48,1221.23,2024-08-22T09:56:54,2025-02-12T15:19:02
ORD00000013,C000818,2024-07-06,Marketplace,Delivered,W001,4184.14,0.0,268.77,25.64,4478.55,2024-07-06T19:04:56,2025-01-19T12:59:42
ORD00000014,C002953,2025-09-27,Web,Shipped,W005,935.67,93.57,46.48,23.86,912.44,2025-09-27T04:33:17,2025-11-17T14:56:52
ORD00000015,C005183,2024-03-29,Marketplace,Packed,W008,3116.0,311.6,226.02,27.18,3057.6,2024-03-29T22:08:04,2024-05-24T14:01:44
ORD00000016,C000445,2025-03-11,Mobile,Delivered,W016,3024.96,0.0,187.28,10.91,3223.15,2025-03-11T00:55:23,2026-01-22T21:46:51
ORD00000017,C004797,2024-05-21,Mobile,Delivered,W001,904.55,135.68,55.65,7.34,831.86,2024-05-21T05:05:28,2025-10-07T22:59:19
ORD00000018,C000300,2025-10-20,Web,Shipped,W012,1301.01,0.0,74.71,13.85,1389.57,2025-10-20T03:45:45,2026-01-11T10:35:04
ORD00000019,C000408,2026-02-28,Web,Shipped,W009,4689.57,468.96,329.91,0.99,4551.51,2026-02-28T01:07:58,2026-02-28T10:49:47
ORD00000020,C003629,2024-07-27,Mobile,Delivered,W016,5624.4,0.0,232.34,25.42,5882.16,2024-07-27T05:25:30,2025-06-06T06:34:07
ORD00000021,C006067,2025-11-20,Web,Shipped,W011,439.09,65.86,32.44,9.64,415.31,2025-11-20T06:09:32,2026-01-25T22:45:44
ORD00000022,C001302,2025-08-06,B2B Portal,Placed,W004,2583.08,129.15,120.68,14.51,2589.12,2025-08-06T08:45:25,2025-10-13T14:20:15
ORD00000023,C003231,2025-03-02,Mobile,Packed,W012,4015.82,0.0,303.33,1.17,4320.32,2025-03-02T02:29:34,2025-09-18T22:03:06
ORD00000024,C006436,2025-09-25,Mobile,Delivered,W012,5399.0,0.0,478.25,21.55,5898.8,2025-09-25T14:20:00,2026-01-04T15:02:25
ORD00000025,C001244,2024-05-16,B2B Portal,Cancelled,W011,7629.42,762.94,404.85,6.31,7277.64,2024-05-16T22:34:04,2024-12-04T02:48:32
ORD00000026,C007519,2026-02-12,Mobile,Delivered,W010,5374.0,0.0,168.66,0.59,5543.25,2026-02-12T04:42:52,2026-02-23T00:44:20
ORD00000027,C003298,2025-11-03,Marketplace,Packed,W007,1020.51,102.05,76.08,34.07,1028.61,2025-11-03T23:34:38,2025-12-09T09:40:59
ORD00000028,C001355,2025-03-20,Mobile,Placed,W016,6237.59,623.76,359.38,28.62,6001.83,2025-03-20T00:22:49,2025-03-20T02:56:59
ORD00000029,C003397,2024-06-04,B2B Portal,Delivered,W006,2183.78,218.38,125.13,32.98,2123.51,2024-06-04T23:25:38,2024-10-10T03:07:42
ORD00000030,C000524,2025-03-05,B2B Portal,Shipped,W013,7401.71,0.0,603.88,12.69,8018.28,2025-03-05T11:48:42,2025-03-29T15:27:59
ORD00000031,C004597,2025-12-01,Mobile,Delivered,W013,5582.8,0.0,229.22,23.62,5835.64,2025-12-01T02:31:54,2026-01-04T13:02:55
ORD00000032,C004698,2024-09-23,Mobile,Shipped,W016,2809.53,280.95,103.78,8.7,2641.06,2024-09-23T07:50:25,2024-11-16T09:28:38
ORD00000033,C002827,2025-06-14,Mobile,Shipped,W014,5429.28,814.39,315.88,25.38,4956.15,2025-06-14T15:54:28,2025-09-25T14:14:58
ORD00000034,C002677,2024-07-13,Mobile,Placed,W001,3980.0,0.0,293.14,25.07,4298.21,2024-07-13T13:14:17,2025-09-05T21:53:20
ORD00000035,C007854,2024-07-15,Web,Packed,W005,1702.6,0.0,109.67,17.88,1830.15,2024-07-15T15:44:04,2025-11-28T23:16:13
ORD00000036,C007092,2025-04-27,Mobile,Delivered,W002,421.06,63.16,20.32,21.04,399.26,2025-04-27T00:15:13,2025-07-02T08:13:05
ORD00000037,C007709,2024-10-27,B2B Portal,Packed,W007,3669.67,0.0,133.11,32.43,3835.21,2024-10-27T14:59:30,2024-11-19T05:03:21
ORD00000038,C004113,2024-02-28,Mobile,Packed,W006,727.1,36.36,49.83,19.21,759.78,2024-02-28T21:42:47,2025-12-22T02:42:21
ORD00000039,C006850,2024-01-15,Web,Delivered,W016,1611.83,241.77,100.2,10.21,1480.47,2024-01-15T21:42:58,2024-06-09T15:58:18
ORD00000040,C005968,2024-12-05,Mobile,Placed,W005,6274.74,941.21,169.03,33.55,5536.11,2024-12-05T19:30:35,2025-05-15T21:39:04
ORD00000041,C000562,2025-09-26,Mobile,Delivered,W004,7180.67,359.03,477.15,18.51,7317.3,2025-09-26T07:13:36,2026-01-07T03:50:31
ORD00000042,C007752,2025-06-09,Marketplace,Delivered,W012,5317.45,797.62,259.49,33.04,4812.36,2025-06-09T20:51:15,2025-08-16T11:48:35
ORD00000043,C002395,2025-09-19,Web,Placed,W013,5597.62,0.0,392.15,1.07,5990.84,2025-09-19T17:32:31,2025-12-18T03:08:17
ORD00000044,C000091,2024-01-26,Web,Shipped,W009,3010.29,451.54,122.36,34.37,2715.48,2024-01-26T18:53:17,2025-09-19T15:39:09
ORD00000045,C006663,2024-09-04,Web,Packed,W005,4806.63,0.0,282.07,3.56,5092.26,2024-09-04T17:31:37,2025-09-27T08:10:19
ORD00000046,C003378,2025-06-30,Marketplace,Cancelled,W010,2610.66,130.53,187.18,24.07,2691.38,2025-06-30T16:18:31,2025-12-27T20:38:34
ORD00000047,C001975,2025-07-10,Marketplace,Packed,W016,1970.89,0.0,122.71,30.95,2124.55,2025-07-10T03:40:05,2025-08-04T06:22:30
ORD00000048,C006465,2024-09-22,B2B Portal,Delivered,W009,3185.78,318.58,89.75,30.35,2987.3,2024-09-22T11:57:39,2025-11-22T11:53:59
ORD00000049,C006926,2025-01-31,Web,Packed,W002,6325.36,948.8,164.2,21.64,5562.4,2025-01-31T08:18:59,2026-01-08T02:01:56
ORD00000050,C002187,2025-03-09,Web,Placed,W016,4940.15,741.02,274.97,27.78,4501.88,2025-03-09T12:16:14,2025-05-04T09:26:13
ORD00000051,C002712,2025-11-05,Mobile,Delivered,W007,424.51,42.45,18.64,33.39,434.09,2025-11-05T15:35:18,2026-01-21T23:07:06
ORD00000052,C002413,2024-03-09,Web,Delivered,W014,1938.33,0.0,63.62,5.93,2007.88,2024-03-09T06:27:19,2025-04-06T19:09:27
ORD00000053,C000988,2025-10-22,B2B Portal,Delivered,W014,4858.39,0.0,374.11,34.77,5267.27,2025-10-22T09:11:01,2025-12-04T10:50:22
ORD00000054,C003019,2024-07-27,B2B Portal,Shipped,W007,5070.26,253.51,247.16,12.23,5076.14,2024-07-27T22:30:26,2025-07-22T00:34:36
ORD00000055,C003018,2026-01-24,Marketplace,Placed,W012,4436.08,221.8,208.12,16.06,4438.46,2026-01-24T07:51:30,2026-02-08T11:49:29
ORD00000056,C005385,2025-08-01,Web,Delivered,W014,1534.16,153.42,111.95,28.04,1520.73,2025-08-01T20:46:37,2025-10-08T19:11:35
ORD00000057,C006742,2024-12-18,Marketplace,Placed,W003,3363.62,0.0,157.55,8.88,3530.05,2024-12-18T15:37:33,2024-12-22T15:19:04
ORD00000058,C007985,2025-09-13,Mobile,Packed,W014,4278.5,427.85,328.53,17.33,4196.51,2025-09-13T15:00:12,2025-10-16T04:29:08
ORD00000059,C006662,2025-08-26,Web,Delivered,W006,3725.92,0.0,154.18,4.73,3884.83,2025-08-26T21:52:29,2025-10-11T22:35:28
ORD00000060,C003800,2024-09-06,Web,Delivered,W009,8404.84,0.0,627.59,10.35,9042.78,2024-09-06T18:31:11,2025-02-19T23:29:45
ORD00000061,C001993,2024-04-17,Web,Placed,W008,4305.93,0.0,238.4,31.77,4576.1,2024-04-17T07:14:37,2025-11-13T18:52:09
ORD00000062,C006958,2025-03-15,Web,Placed,W005,6170.56,0.0,371.65,3.4,6545.61,2025-03-15T01:09:32,2026-01-07T10:29:30
ORD00000063,C006030,2025-05-09,Web,Shipped,W004,1861.81,279.27,75.25,26.44,1684.23,2025-05-09T15:05:42,2025-06-09T13:20:27
ORD00000064,C001023,2025-10-05,Mobile,Packed,W003,6612.3,661.23,356.97,12.63,6320.67,2025-10-05T11:45:01,2025-12-16T12:45:25
ORD00000065,C004456,2025-03-21,Web,Shipped,W017,3773.01,0.0,336.55,8.12,4117.68,2025-03-21T20:51:55,2025-05-30T18:07:54
ORD00000066,C006602,2024-10-05,B2B Portal,Cancelled,W012,1969.51,0.0,72.23,34.3,2076.04,2024-10-05T10:18:26,2025-06-02T10:58:47
