payment_id,order_id,payment_date,method,amount,status
PAY00000001,ORD00000001,2024-03-21,ACH,3697.61,Succeeded
PAY00000002,ORD00000002,2024-11-06,PayPal,5320.55,Succeeded
PAY00000003,ORD00000003,2026-02-20,ACH,2031.85,Succeeded
PAY00000004,ORD00000004,2024-07-20,Wire,1490.16,Succeeded
PAY00000005,ORD00000005,2025-01-20,Wire,2953.96,Pending
PAY00000006,ORD00000006,2025-11-20,Card,7730.18,Succeeded
PAY00000008,ORD00000008,2025-03-25,ACH,5045.61,Succeeded
PAY00000009,ORD00000009,2025-12-17,Card,3128.15,Succeeded
PAY00000010,ORD00000010,2025-05-06,Card,5049.86,Succeeded
PAY00000011,ORD00000011,2026-01-31,Wire,1242.64,Succeeded
PAY00000012,ORD00000012,2024-08-24,Card,1221.23,Succeeded
PAY00000013,ORD00000013,2024-07-07,ACH,4478.55,Succeeded
PAY00000014,ORD00000014,2025-09-29,Wire,912.44,Succeeded
PAY00000015,ORD00000015,2024-03-31,Wire,3057.6,Succeeded
PAY00000016,ORD00000016,2025-03-13,PayPal,3223.15,Succeeded
PAY00000017,ORD00000017,2024-05-22,PayPal,831.86,Succeeded
PAY00000018,ORD00000018,2025-10-22,Card,1389.57,Succeeded
PAY00000019,ORD00000019,2026-02-28,ACH,4551.51,Succeeded
PAY00000020,ORD00000020,2024-07-27,PayPal,5882.16,Succeeded
PAY00000021,ORD00000021,2025-11-20,Card,415.31,Succeeded
PAY00000022,ORD00000022,2025-08-06,PayPal,2589.12,Pending
PAY00000023,ORD00000023,2025-03-03,Wire,4320.32,Succeeded
PAY00000024,ORD00000024,2025-09-25,ACH,5898.8,Succeeded
PAY00000026,ORD00000026,2026-02-12,ACH,5543.25,Succeeded
PAY00000027,ORD00000027,2025-11-05,Wire,1028.61,Succeeded
PAY00000028,ORD00000028,2025-03-21,Wire,6001.83,Succeeded
PAY00000029,ORD00000029,2024-06-05,Wire,2123.51,Succeeded
PAY00000030,ORD00000030,2025-03-06,Card,8018.28,Succeeded
PAY00000031,ORD00000031,2025-12-02,Card,5835.64,Succeeded
PAY00000032,ORD00000032,2024-09-25,PayPal,2641.06,Succeeded
PAY00000033,ORD00000033,2025-06-14,Wire,4956.15,Pending
PAY00000034,ORD00000034,2024-07-14,ACH,4298.21,Succeeded
PAY00000035,ORD00000035,2024-07-17,PayPal,1830.15,Pending
PAY00000036,ORD00000036,2025-04-27,Wire,399.26,Succeeded
PAY00000037,ORD00000037,2024-10-29,Card,3835.21,Succeeded
PAY00000038,ORD00000038,2024-02-28,PayPal,759.78,Succeeded
PAY00000039,ORD00000039,2024-01-17,Card,1480.47,Succeeded
PAY00000040,ORD00000040,2024-12-05,PayPal,5536.11,Succeeded
PAY00000041,ORD00000041,2025-09-26,PayPal,7317.3,Succeeded
PAY00000042,ORD00000042,2025-06-09,Card,4812.36,Succeeded
PAY00000043,ORD00000043,2025-09-20,PayPal,5990.84,Succeeded
PAY00000044,ORD00000044,2024-01-26,Wire,2715.48,Succeeded
PAY00000045,ORD00000045,2024-09-04,Card,5092.26,Succeeded
PAY00000047,ORD00000047,2025-07-11,Wire,2124.55,Succeeded
PAY00000048,ORD00000048,2024-09-22,Wire,2987.3,Succeeded
PAY00000049,ORD00000049,2025-02-02,Card,5562.4,Pending
PAY00000050,ORD00000050,2025-03-11,Wire,4501.88,Succeeded
PAY00000051,ORD00000051,2025-11-06,Card,434.09,Succeeded
PAY00000052,ORD00000052,2024-03-11,ACH,2007.88,Succeeded
PAY00000053,ORD00000053,2025-10-22,Wire,5267.27,Pending
PAY00000054,ORD00000054,2024-07-28,ACH,5076.14,Succeeded
PAY00000055,ORD00000055,2026-01-25,PayPal,4438.46,Succeeded
PAY00000056,ORD00000056,2025-08-01,Card,1520.73,Succeeded
PAY00000057,ORD00000057,2024-12-19,ACH,3530.05,Succeeded
PAY00000058,ORD00000058,2025-09-13,ACH,4196.51,Succeeded
PAY00000059,ORD00000059,2025-08-28,Wire,3884.83,Succeeded
PAY00000060,ORD00000060,2024-09-07,ACH,9042.78,Succeeded
PAY00000061,ORD00000061,2024-04-19,PayPal,4576.1,Succeeded
PAY00000062,ORD00000062,2025-03-17,Wire,6545.61,Succeeded
PAY00000063,ORD00000063,2025-05-09,Card,1684.23,Succeeded
PAY00000064,ORD00000064,2025-10-06,ACH,6320.67,Failed
PAY00000065,ORD00000065,2025-03-23,ACH,4117.68,Succeeded
PAY00000067,ORD00000067,2025-07-08,Card,5896.59,Succeeded
PAY00000068,ORD00000068,2024-06-11,Wire,5010.33,Succeeded
PAY00000069,ORD00000069,2024-10-13,PayPal,1372.41,Succeeded
PAY00000070,ORD00000070,2024-07-31,ACH,3012.29,Succeeded
PAY00000071,ORD00000071,2024-12-01,PayPal,4100.71,Succeeded
PAY00000072,ORD00000072,2024-03-15,Card,2155.53,Succeeded
PAY00000073,ORD00000073,2024-09-05,Card,4937.55,Succeeded
PAY00000074,ORD00000074,2024-05-27,ACH,2818.24,Succeeded
PAY00000075,ORD00000075,2025-03-21,Wire,7247.31,Succeeded
PAY00000076,ORD00000076,2026-02-28,Card,1710.48,Succeeded
PAY00000077,ORD00000077,2024-07-08,Card,2975.53,Succeeded
PAY00000079,ORD00000079,2024-04-26,ACH,4099.75,Succeeded
PAY00000080,ORD00000080,2026-02-11,Card,4067.28,Succeeded
PAY00000082,ORD00000082,2024-11-24,ACH,5296.03,Succeeded
PAY00000083,ORD00000083,2024-03-22,PayPal,5181.43,Succeeded
PAY00000085,ORD00000085,2025-12-17,Card,4477.23,Succeeded
PAY00000087,ORD00000087,2025-03-23,Wire,912.68,Succeeded
PAY00000088,ORD00000088,2025-09-25,ACH,2375.44,Succeeded
PAY00000089,ORD00000089,2025-05-28,Wire,4381.6,Succeeded
PAY00000090,ORD00000090,2024-07-19,Card,8885.04,Succeeded
PAY00000091,ORD00000091,2025-07-28,ACH,3894.39,Succeeded
