product_id,sku,product_name,category,unit_cost,list_price,is_active,created_at,updated_at
P00001,EQ-09232,Building Organization,Auto,170.53,263.02,True,2026-01-08T09:07:36,2026-02-20T17:24:57
P00002,MM-37452,Small Serious,Healthcare,287.34,522.45,True,2024-05-29T01:18:45,2024-08-17T11:59:28
P00003,BT-12419,Parent Research,Apparel,262.83,341.62,True,2025-07-05T17:44:17,2025-08-09T03:39:47
P00004,SO-66319,Eight Blue,Office,88.65,143.51,True,2025-06-27T20:14:03,2025-07-22T13:21:45
P00005,WI-49190,Later Recently,Grocery,39.69,67.06,True,2024-01-06T05:26:41,2025-05-07T15:41:12
P00006,AF-51850,Born Lead,Apparel,115.8,185.53,True,2026-02-26T20:36:14,2026-02-26T05:26:56
P00007,UH-57262,Rather Expect,Sports,327.2,384.6,True,2025-02-10T05:59:47,2025-07-08T01:00:19
P00008,UL-98776,Executive Future,Home,325.32,450.42,True,2025-04-10T17:33:31,2025-06-17T16:29:17
P00009,WD-31473,Over Poor,Office,284.04,392.4,True,2026-01-18T20:16:45,2026-01-29T00:47:21
P00010,LF-65075,Difference Hear,Apparel,200.88,337.5,True,2024-06-28T20:57:25,2025-09-08T16:20:05
P00011,JA-45494,Nation Yourself,Healthcare,235.89,301.79,True,2024-05-23T10:59:15,2024-05-29T08:24:15
P00012,JW-31367,Effect Rock,Grocery,265.05,481.81,True,2024-11-05T23:36:00,2025-03-18T20:23:44
P00013,SO-77701,Interview Role,Office,26.43,32.58,True,2024-11-10T12:43:32,2026-02-25T22:49:19
P00014,JH-34957,Guy Large,Home,225.36,407.55,True,2025-01-11T07:14:08,2025-09-12T04:29:47
P00015,TQ-85574,During Camera,Auto,148.47,227.82,False,2025-04-27T17:51:42,2025-08-16T07:43:48
P00016,MN-35182,Single Member,Home,186.3,283.12,True,2025-01-05T18:07:03,2025-10-12T16:12:36
P00017,GM-49894,Fine Dream,Sports,61.77,107.98,True,2025-03-28T21:13:45,2026-01-20T15:05:57
P00018,IR-52408,Answer Arm,Grocery,284.0,416.74,True,2025-06-09T14:36:03,2026-01-31T21:51:19
P00019,AK-84271,Feel Manager,Electronics,141.6,243.77,True,2026-02-02T18:04:02,2026-02-15T11:44:04
P00020,QE-77520,Build Term,Electronics,327.43,392.36,True,2025-04-28T09:26:11,2025-07-06T20:46:41
P00021,OR-16719,Argue Civil,Healthcare,134.19,238.04,True,2025-04-04T12:05:43,2026-01-05T04:41:55
P00022,HJ-29413,South Keep,Auto,45.93,84.74,True,2025-02-06T04:46:14,2025-02-07T00:19:29
P00023,YC-99938,When Level,Healthcare,188.52,325.45,True,2024-09-10T11:09:17,2025-03-22T23:48:07
P00024,ND-49649,Poor Sister,Electronics,284.27,410.33,True,2026-02-23T07:13:04,2026-02-23T19:02:28
P00025,KP-13341,Consumer Old,Electronics,89.43,105.61,True,2025-03-25T17:13:48,2025-04-22T04:32:18
