movement_id,movement_ts,warehouse_id,product_id,movement_type,qty_delta,reference_id
IM00000001,2024-03-20T07:32:11,W017,P00278,TRANSFER_OUT,-30,74514863-d9e5-45d8-9a9d-1a3a4142dfec
IM00000002,2024-06-28T11:23:14,W006,P00090,TRANSFER_IN,42,0c2c3353-8520-4b71-bfc3-d398033a2f1b
IM00000003,2025-07-04T11:36:58,W009,P00257,TRANSFER_IN,10,d5580a39-8d3f-4f5f-b11b-a792a7a1980b
IM00000004,2024-01-22T00:36:46,W015,P00322,ADJUSTMENT,14,7383170b-e71a-4621-9bbd-52cd63673be1
IM00000005,2025-04-10T07:07:42,W008,P00195,RECEIPT,10,0d453387-2aa6-43e3-b55b-4d9a161b10ab
IM00000006,2025-12-31T21:50:54,W010,P00356,TRANSFER_IN,34,1b7504b4-8163-4b4f-aaea-9bf07b925e38
IM00000007,2026-01-31T03:32:11,W017,P00575,TRANSFER_IN,36,094a8bf6-4f09-432d-b715-e98b39c7de17
IM00000008,2026-02-21T09:20:27,W007,P00465,TRANSFER_IN,5,b54962cd-0f8f-48ca-b011-e762771415dc
IM00000009,2025-01-03T13:11:10,W006,P00591,RECEIPT,39,330f1de5-9216-4821-9c72-c78250f9adf4
IM00000010,2024-02-22T19:54:16,W016,P00250,RECEIPT,2,83d4eb1b-4f8c-4655-a0bd-289ecd952402
IM00000011,2024-10-09T09:05:20,W012,P00068,SHIP,-17,6054dbdd-06a9-439f-a927-88f03cc8c9d8
IM00000012,2024-02-18T09:25:48,W004,P00202,TRANSFER_OUT,-33,a74fecda-30f1-456c-a468-3c1353a463ae
IM00000013,2026-02-18T19:15:17,W012,P00533,SHIP,-10,0962125c-7c85-47cb-b3c8-05483478712f
IM00000014,2026-02-15T16:47:58,W016,P00446,TRANSFER_IN,34,31353fec-b49a-4010-b9f0-9e360bf0ef63
IM00000015,2024-11-05T02:19:41,W012,P00553,TRANSFER_OUT,-44,251ea6df-76f8-414b-9484-7871360e4cb5
IM00000016,2024-02-24T08:35:28,W008,P00244,RECEIPT,12,66e92f32-a7d9-4686-a662-c2b965ab3a7d
IM00000017,2024-06-20T17:22:12,W013,P00572,ADJUSTMENT,7,31d35aa1-ee99-4975-a16a-bfbf7fb06f2c
IM00000018,2025-04-14T00:32:29,W005,P00454,SHIP,-4,1d685c2b-2ff5-427b-b23e-19cded3ef952
IM00000019,2026-02-10T18:33:36,W015,P00299,TRANSFER_IN,46,f69f9210-64d9-4eb7-9813-0e77b245a9f4
IM00000020,2025-12-31T09:07:40,W009,P00218,RECEIPT,28,9ee223b5-6dab-4227-8cf4-88da29f44d9b
IM00000021,2026-01-16T22:28:10,W015,P00361,RECEIPT,45,40deff70-a58c-4092-a5a0-0a1260d55c8e
IM00000022,2024-03-25T14:47:46,W017,P00024,TRANSFER_IN,16,5973133c-7156-4eaf-9acc-d520f3442254
IM00000023,2024-11-01T20:00:37,W012,P00083,TRANSFER_IN,19,2496cdde-5f8b-48d8-befa-a32beffacdd9
IM00000024,2025-09-22T01:30:05,W007,P00213,TRANSFER_OUT,-29,f974471b-ac7b-438c-9771-02b220d41f2e
IM00000025,2025-04-14T05:05:36,W017,P00200,ADJUSTMENT,29,c667a69e-4ac5-4ca6-9e58-929137d8709d
IM00000026,2025-06-04T01:23:08,W006,P00538,TRANSFER_OUT,-32,198a8cd7-f0b3-4414-b93f-7105633559c5
IM00000027,2025-01-01T17:05:56,W017,P00152,RECEIPT,38,6c3cb7d6-7672-43bb-a389-2478f0e7da41
IM00000028,2024-01-31T12:38:07,W016,P00065,SHIP,-25,76917045-2bbd-4dd0-9f8e-fa9ec96fa1fa
IM00000029,2024-09-21T14:17:37,W005,P00155,RECEIPT,32,b91777fb-2d2b-409c-8f62-20f8e987f12b
IM00000030,2025-09-27T18:09:54,W012,P00018,RECEIPT,1,477037d5-533b-44bd-a909-412e9a13d4a7
IM00000031,2026-01-10T05:09:46,W005,P00003,TRANSFER_IN,34,c832087b-032c-4e21-9aff-caa4ce7711dc
IM00000032,2025-03-02T14:30:16,W012,P00486,TRANSFER_OUT,-24,e42e05fa-785b-4e16-b726-9c927ecea5e4
IM00000033,2025-08-06T16:48:10,W014,P00460,SHIP,-20,bc0b3837-35e3-4cc3-bfe6-4c7af29d7001
IM00000034,2024-09-23T00:56:45,W005,P00591,RECEIPT,32,faa5ccfc-607b-47e9-8c51-65300e99ec2e
IM00000035,2024-03-18T20:25:07,W017,P00143,RECEIPT,40,ad7bfd1c-26bc-4ead-8571-901bf0eb8d8b
IM00000036,2025-12-28T03:10:38,W014,P00338,TRANSFER_IN,36,47d49588-6cb7-4209-bc2b-7e25bc84da08
IM00000037,2025-02-28T18:56:19,W003,P00350,ADJUSTMENT,1,28752e55-27f4-4d82-91e1-62ad0e96c002
IM00000038,2025-10-26T10:34:24,W008,P00105,TRANSFER_OUT,-39,5e56d749-0ae1-4d01-833c-a62ea925f18f
IM00000039,2025-07-05T11:07:12,W010,P00219,SHIP,-4,55de19c4-3cca-403f-9dd3-f8f98042ee9d
IM00000040,2024-12-26T11:27:41,W013,P00551,SHIP,-3,47ef0963-b86c-41ed-825d-e51628948f29
IM00000041,2025-06-14T21:38:13,W011,P00389,TRANSFER_OUT,-46,183c421d-b7c5-42e1-b5de-35b6d9a5ebb2
IM00000042,2025-12-18T00:21:12,W017,P00377,TRANSFER_IN,21,04faf7a0-c518-4070-9daf-179f173ce6d8
IM00000043,2025-05-26T17:57:46,W007,P00039,TRANSFER_IN,14,9c95acf1-c4e3-499d-b1dd-200974683b11
IM00000044,2025-11-20T17:38:32,W017,P00028,RECEIPT,17,5b5c9109-64e1-44c4-addd-dc28a6632d95
IM00000045,2025-01-26T00:11:57,W010,P00590,RECEIPT,25,b94fa86d-ea8b-4a62-b7b1-e3f2c0be9f3c
IM00000046,2024-09-22T21:15:12,W013,P00259,RECEIPT,26,4f4add0d-8e5e-48d6-b737-14b29e348a2d
IM00000047,2024-10-03T16:47:02,W014,P00433,SHIP,-41,c9c9567d-0145-4aaa-a190-f829f4906ba6
IM00000048,2024-03-04T17:09:47,W010,P00359,SHIP,-6,d45a042c-02c7-46c6-a8c4-08b36a4b8213
IM00000049,2024-09-20T02:54:33,W004,P00437,TRANSFER_OUT,-36,1473dab5-ab39-42d4-949d-0a65a3e6c8ef
IM00000050,2025-09-26T22:48:01,W002,P00516,SHIP,-47,b00719d0-462d-496f-87af-562ed625134c
IM00000051,2025-10-05T19:51:11,W017,P00389,TRANSFER_OUT,-43,cd22f743-937a-468f-b44c-3a7c41b4529b
IM00000052,2025-04-11T12:15:13,W007,P00472,SHIP,-28,59979700-a983-4827-9351-9aa58ce03c35
IM00000053,2024-01-10T15:01:42,W001,P00253,RECEIPT,38,723114b2-ef46-4c94-906a-b00b9e27c571
IM00000054,2025-04-29T19:50:00,W010,P00366,RECEIPT,1,6173aecc-9261-4837-9652-e94e9b92a242
IM00000055,2026-01-26T07:34:59,W005,P00296,ADJUSTMENT,27,cbdc2f71-e4d5-40f3-bbd3-5aa454afbd58
IM00000056,2026-01-26T00:01:26,W017,P00076,ADJUSTMENT,43,4bf7f83b-42e5-45a8-a25d-69cd606eaab8
IM00000057,2024-12-19T17:35:19,W004,P00039,RECEIPT,8,54244f6d-91db-45a6-9505-cc797c3e646b
IM00000058,2024-05-12T16:06:37,W009,P00303,ADJUSTMENT,38,3767426d-2a06-4286-81ea-16373f93f813
IM00000059,2026-02-04T01:49:00,W006,P00187,TRANSFER_IN,27,a5c44d41-9545-4509-8600-8fa4d4134f07
IM00000060,2025-09-11T23:42:58,W017,P00581,ADJUSTMENT,4,ba3977cb-42d3-45d6-a9e0-e148f7b26174
IM00000061,2025-02-08T20:59:03,W017,P00215,SHIP,-43,f4b0d462-7c31-4837-805f-c4d26e5df955
IM00000062,2026-01-07T17:43:59,W015,P00407,TRANSFER_OUT,-41,ea40e291-d55b-435d-bc4d-ff7488b7aa70
IM00000063,2026-02-09T11:30:20,W007,P00224,ADJUSTMENT,31,3faf3f85-ffcd-415f-a3b1-7f742392c016
IM00000064,2025-07-31T03:05:47,W006,P00484,RECEIPT,6,42910e6b-a5aa-4b88-91f8-396cfae94fd2
IM00000065,2025-05-22T19:32:18,W010,P00154,TRANSFER_OUT,-22,a0cc828c-72c0-4cab-a508-086549d3c65d
IM00000066,2025-09-06T09:31:56,W010,P00580,SHIP,-6,1b085327-d270-464d-95e1-5f7f3516183d
IM00000067,2025-06-14T08:37:39,W007,P00091,RECEIPT,42,451bdcb7-83fd-4ffa-97f8-2862790f19fa
IM00000068,2024-09-12T05:50:51,W014,P00106,TRANSFER_OUT,-22,b55314e4-7edd-4356-9b11-1f6ef7903e75
IM00000069,2025-05-11T12:35:37,W013,P00064,SHIP,-22,f597bbec-b08f-41c1-b10e-728c166e84f3
