return_id,order_id,return_date,reason,refund_amount,status
RET00000020,ORD00000020,2024-08-11,Late Delivery,4078.28,Approved
RET00000039,ORD00000039,2024-01-30,Defective,1456.9,Refunded
RET00000060,ORD00000060,2024-09-27,Wrong Item,5848.59,Approved
RET00000073,ORD00000073,2024-09-16,Wrong Item,1408.77,Approved
RET00000076,ORD00000076,2026-03-20,Damaged,837.64,Requested
RET00000089,ORD00000089,2025-06-11,Changed Mind,1514.01,Denied
RET00000118,ORD00000118,2024-12-01,Wrong Item,179.13,Denied
RET00000137,ORD00000137,2025-04-28,Late Delivery,549.98,Refunded
RET00000151,ORD00000151,2025-07-29,Wrong Item,3331.31,Approved
RET00000152,ORD00000152,2025-11-23,Changed Mind,5146.71,Refunded
RET00000194,ORD00000194,2025-05-10,Defective,246.43,Denied
RET00000218,ORD00000218,2025-06-22,Damaged,1300.65,Denied
RET00000245,ORD00000245,2026-02-24,Late Delivery,2041.0,Requested
RET00000256,ORD00000256,2024-03-19,Late Delivery,2875.0,Denied
RET00000304,ORD00000304,2024-07-22,Changed Mind,3984.02,Requested
RET00000362,ORD00000362,2025-09-09,Changed Mind,907.64,Requested
RET00000363,ORD00000363,2025-07-06,Damaged,1777.76,Requested
RET00000366,ORD00000366,2025-10-23,Late Delivery,3909.61,Requested
RET00000419,ORD00000419,2025-10-27,Damaged,3881.33,Refunded
RET00000459,ORD00000459,2024-09-22,Late Delivery,780.19,Approved
RET00000505,ORD00000505,2024-08-04,Wrong Item,9377.47,Refunded
RET00000515,ORD00000515,2024-05-15,Changed Mind,151.44,Denied
RET00000545,ORD00000545,2024-01-25,Damaged,2576.29,Requested
RET00000593,ORD00000593,2024-10-29,Wrong Item,2280.93,Requested
RET00000682,ORD00000682,2024-02-07,Damaged,615.93,Requested
RET00000761,ORD00000761,2025-06-25,Defective,1062.13,Approved
RET00000795,ORD00000795,2024-06-05,Changed Mind,770.77,Refunded
RET00000812,ORD00000812,2025-11-24,Defective,3016.63,Refunded
RET00000842,ORD00000842,2025-06-24,Damaged,61.77,Denied
RET00000916,ORD00000916,2024-07-12,Wrong Item,542.62,Requested
RET00000962,ORD00000962,2025-10-30,Wrong Item,2182.63,Requested
RET00001029,ORD00001029,2026-02-23,Late Delivery,4103.31,Requested
RET00001044,ORD00001044,2024-02-25,Changed Mind,241.42,Refunded
RET00001047,ORD00001047,2024-02-27,Damaged,916.38,Refunded
RET00001057,ORD00001057,2025-10-21,Damaged,3811.68,Refunded
RET00001069,ORD00001069,2024-10-13,Wrong Item,1412.34,Requested
RET00001071,ORD00001071,2025-09-22,Late Delivery,1805.77,Approved
RET00001108,ORD00001108,2024-05-20,Late Delivery,2720.83,Denied
RET00001202,ORD00001202,2024-05-06,Wrong Item,722.18,Approved
RET00001219,ORD00001219,2024-12-05,Wrong Item,5968.97,Refunded
RET00001266,ORD00001266,2025-07-26,Late Delivery,848.41,Requested
RET00001274,ORD00001274,2024-11-17,Late Delivery,6520.97,Denied
RET00001303,ORD00001303,2024-08-10,Damaged,396.73,Requested
RET00001372,ORD00001372,2026-02-14,Changed Mind,1128.07,Denied
RET00001378,ORD00001378,2025-01-18,Defective,714.23,Requested
RET00001445,ORD00001445,2024-06-24,Late Delivery,1518.57,Refunded
RET00001453,ORD00001453,2025-11-12,Damaged,6346.51,Requested
RET00001526,ORD00001526,2024-05-17,Wrong Item,900.65,Approved
RET00001544,ORD00001544,2024-07-10,Wrong Item,3436.74,Approved
RET00001595,ORD00001595,2025-04-01,Wrong Item,154.43,Approved
RET00001655,ORD00001655,2026-02-14,Defective,4431.64,Requested
RET00001679,ORD00001679,2025-08-25,Wrong Item,337.5,Denied
RET00001696,ORD00001696,2024-10-18,Damaged,2285.21,Denied
RET00001713,ORD00001713,2024-06-05,Late Delivery,2598.26,Denied
RET00001748,ORD00001748,2025-10-03,Changed Mind,280.36,Denied
RET00001784,ORD00001784,2025-12-30,Damaged,695.01,Refunded
RET00001936,ORD00001936,2024-06-04,Defective,433.98,Denied
RET00001947,ORD00001947,2025-01-01,Changed Mind,2313.5,Requested
RET00001973,ORD00001973,2024-05-31,Late Delivery,2298.98,Requested
RET00002010,ORD00002010,2024-07-28,Changed Mind,3828.87,Requested
RET00002042,ORD00002042,2025-02-17,Late Delivery,1924.87,Denied
RET00002049,ORD00002049,2024-04-17,Wrong Item,1840.6,Refunded
RET00002085,ORD00002085,2024-11-10,Late Delivery,2055.16,Denied
