activity_id,account_id,contact_id,activity_type,outcome,activity_ts,owner_role
ACT000001,A01156,CT001999,Call,Booked Meeting,2024-10-31T21:53:41,SDR
ACT000002,A01141,CT000937,Meeting,Follow-up Needed,2026-01-04T21:26:05,CSM
ACT000003,A00873,CT001217,Call,Booked Meeting,2026-03-01T05:13:59,SDR
ACT000004,A00040,CT001548,Meeting,Follow-up Needed,2024-09-25T07:42:27,AM
ACT000005,A01120,CT001805,Task,Left VM,2024-05-25T20:04:28,AE
ACT000006,A00563,CT001532,Task,No Answer,2024-07-03T22:19:39,AM
ACT000007,A00062,CT000264,Meeting,No Answer,2024-03-27T13:47:10,AM
ACT000008,A00265,CT001925,Email,Replied,2025-03-17T04:27:26,AE
ACT000009,A01079,CT002164,Meeting,Booked Meeting,2024-03-13T12:16:19,CSM
ACT000010,A00836,CT001071,Meeting,Connected,2026-01-14T14:45:45,CSM
ACT000011,A00134,CT001601,Meeting,Connected,2024-03-31T11:50:41,AE
ACT000012,A01169,CT001353,Call,Connected,2025-03-06T00:19:55,SDR
ACT000013,A00049,CT000625,Meeting,Connected,2025-07-24T12:25:37,CSM
ACT000014,A00042,CT001949,Meeting,No Answer,2024-10-09T00:48:20,SDR
ACT000015,A00619,CT000951,Task,No Answer,2025-07-09T19:57:04,AE
ACT000016,A00305,CT000783,Task,Booked Meeting,2024-05-19T08:51:43,CSM
ACT000017,A00185,CT000197,Email,Left VM,2025-12-30T00:45:59,AE
ACT000018,A00298,CT002096,Call,Replied,2025-09-02T16:00:10,AM
ACT000019,A01195,CT000051,Meeting,Booked Meeting,2025-11-13T00:41:24,SDR
ACT000020,A00951,CT000360,Meeting,Booked Meeting,2026-02-05T13:21:59,SDR
ACT000021,A00145,CT002191,Task,Booked Meeting,2025-02-03T12:42:07,SDR
ACT000022,A00101,CT001508,Call,Replied,2024-01-30T17:11:13,AE
ACT000023,A00283,CT001606,Task,Left VM,2024-09-18T01:16:11,AE
ACT000024,A00449,CT000168,Meeting,Left VM,2025-01-31T03:50:52,AM
ACT000025,A00624,CT000169,Call,No Answer,2024-12-30T20:45:56,AE
ACT000026,A00798,CT001665,Email,Left VM,2024-05-18T19:53:05,CSM
ACT000027,A01181,CT001812,Email,No Answer,2024-08-25T22:16:14,CSM
ACT000028,A00328,CT000210,Call,Booked Meeting,2025-07-02T08:23:09,AE
ACT000029,A00418,CT001415,Task,Connected,2024-05-21T08:42:32,AE
ACT000030,A00783,CT002183,Task,Left VM,2024-09-08T20:58:07,SDR
ACT000031,A00455,CT000425,Call,Booked Meeting,2025-07-05T20:36:41,SDR
ACT000032,A00803,CT001409,Task,Connected,2025-08-11T20:59:05,AM
ACT000033,A00383,CT001714,Call,No Answer,2025-11-18T02:06:17,AE
ACT000034,A00793,CT000051,Call,No Answer,2024-12-11T21:02:07,AE
ACT000035,A00165,CT000664,Call,Connected,2024-02-16T17:47:15,SDR
ACT000036,A00639,CT000095,Task,Connected,2025-02-23T13:38:01,AM
ACT000037,A00157,CT000138,Call,Follow-up Needed,2024-02-27T06:36:30,CSM
ACT000038,A00031,CT000235,Call,Connected,2025-01-04T12:39:23,SDR
ACT000039,A00106,CT000607,Email,Booked Meeting,2024-06-01T13:54:04,SDR
ACT000040,A00824,CT002157,Email,No Answer,2024-04-22T10:27:21,SDR
ACT000041,A00264,CT000798,Call,Follow-up Needed,2025-05-27T01:11:10,AE
ACT000042,A01186,CT002065,Call,Follow-up Needed,2026-01-24T01:24:35,AM
ACT000043,A01131,CT000660,Meeting,Follow-up Needed,2024-10-16T21:05:37,AE
ACT000044,A00268,CT000592,Email,No Answer,2025-01-29T21:15:30,AM
ACT000045,A00387,CT001786,Email,Connected,2025-02-26T08:30:35,CSM
ACT000046,A00214,CT001282,Meeting,Connected,2024-12-28T09:59:41,AM
ACT000047,A00539,CT000956,Task,No Answer,2024-10-22T02:35:26,SDR
ACT000048,A00238,CT002199,Call,Left VM,2025-06-27T09:18:29,SDR
ACT000049,A00167,CT002116,Call,Booked Meeting,2025-10-12T20:18:41,AM
ACT000050,A00915,CT000226,Call,Left VM,2024-12-19T02:45:48,AM
ACT000051,A01057,CT000630,Email,Left VM,2024-05-02T13:59:25,AM
ACT000052,A00102,CT000281,Meeting,Replied,2026-01-28T05:10:35,AM
ACT000053,A00863,CT001828,Task,No Answer,2025-11-04T11:30:40,CSM
ACT000054,A01018,CT001918,Task,Left VM,2025-04-26T14:37:04,SDR
ACT000055,A00129,CT001129,Call,No Answer,2024-05-26T01:44:54,CSM
ACT000056,A00265,CT001431,Call,Left VM,2025-03-27T22:09:23,CSM
ACT000057,A00156,CT000603,Meeting,Booked Meeting,2024-06-19T18:03:34,SDR
ACT000058,A00448,CT000130,Call,No Answer,2024-07-20T01:46:01,AM
ACT000059,A01071,CT000720,Task,Left VM,2025-04-13T12:22:28,AE
ACT000060,A01034,CT000242,Call,Replied,2025-12-10T23:35:43,AE
ACT000061,A00214,CT000494,Task,Left VM,2025-11-21T02:22:04,CSM
ACT000062,A00471,CT001052,Meeting,No Answer,2024-01-30T08:57:39,AE
ACT000063,A00415,CT001346,Task,No Answer,2025-12-23T23:39:53,AE
